segment_type,segment_value,rank,product_id,product_category_name_english,avg_review_score,avg_price,total_orders,positive_sentiment_ratio
state,MT,8,389d119b48cf3043d311335e499d9c6b,garden_tools,4.1131,54.6954,392.0,0.1531
state,MT,9,368c6c730842d78016ad823897a372db,garden_tools,3.9227,54.2701,388.0,0.1841
state,MT,10,a92930c327948861c015c919a0bcb4a8,watches_gifts,3.8526,77.9688,160.0,0.25
state,PA,1,bb50f2e236e5eea0100680137654686c,health_beauty,4.2205,327.6154,195.0,0.2359
state,PA,2,422879e10f46682990de24d770e7f83d,garden_tools,3.9463,54.9116,484.0,0.1848
state,PA,3,f3ccdb9f9c7f31e0efd626e9110b85f5,christmas_supplies,4.3333,116.9,9.0,0.2222
state,PA,4,368c6c730842d78016ad823897a372db,garden_tools,3.9227,54.2701,388.0,0.1841
state,PA,5,d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,4.1941,137.6516,343.0,0.2041
state,PA,6,5a848e4ab52fd5445cdc07aab1c40e48,,4.1179,122.99,197.0,0.2081
state,PA,7,aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,4.0191,71.3641,527.0,0.2201
state,PA,8,53759a2ecddad2bb87a079a1f1519f73,garden_tools,3.8763,54.6574,373.0,0.1387
state,PA,9,a62e25e09e05e6faf31d90c6ec1aa3d1,watches_gifts,3.8578,106.4204,226.0,0.1814
state,PA,10,154e7e31ebfa092203795c972e5804a6,health_beauty,4.3297,22.5096,281.0,0.169
state,PB,1,bb50f2e236e5eea0100680137654686c,health_beauty,4.2205,327.6154,195.0,0.2359
state,PB,2,bc3c6d2a621414f2e1df7a8a32a2828e,signaling_and_security,5.0,175.0,6.0,0.0
state,PB,3,38273c03eb0f88327f62c1d521260623,computers_accessories,4.7857,19.9,14.0,0.0
state,PB,4,56c221c4c1a4a98293895c4563cdc6bf,construction_tools_safety,3.9091,29.0,12.0,0.0
state,PB,5,6cdd53843498f92890544667809f1595,health_beauty,4.3072,350.8346,156.0,0.1731
state,PB,6,928e52a9ad53a294fdcc91bcf59d1751,housewares,3.5862,135.8333,60.0,0.1167
state,PB,7,72656ebe275ad87be8ac519170e4556b,sports_leisure,4.5,196.99,4.0,0.5
state,PB,8,3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,4.2096,149.9365,274.0,0.2336
state,PB,9,461f43be3bdf8844e65b62d9ac2c7a5a,watches_gifts,3.986,141.0495,146.0,0.2055
state,PB,10,4c2394abfbac7ff59ec7a420918562fa,health_beauty,3.7686,84.99,123.0,0.2114
state,PE,1,6cdd53843498f92890544667809f1595,health_beauty,4.3072,350.8346,156.0,0.1731
state,PE,2,bb50f2e236e5eea0100680137654686c,health_beauty,4.2205,327.6154,195.0,0.2359
state,PE,3,422879e10f46682990de24d770e7f83d,garden_tools,3.9463,54.9116,484.0,0.1848
state,PE,4,7c1bd920dbdf22470b68bde975dd3ccf,health_beauty,3.8616,60.029,231.0,0.1724
state,PE,5,43423cdffde7fda63d0414ed38c11a73,watches_gifts,3.6196,62.1535,93.0,0.172
state,PE,6,3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,4.2096,149.9365,274.0,0.2336
state,PE,7,53b36df67ebb7c41585e8d54d6772e08,watches_gifts,4.1906,116.6669,323.0,0.2012
state,PE,8,389d119b48cf3043d311335e499d9c6b,garden_tools,4.1131,54.6954,392.0,0.1531
state,PE,9,2b4609f8948be18874494203496bc318,health_beauty,4.0859,87.3739,260.0,0.1742
state,PE,10,ddceb6eef6af67e9fbbd4c148dbe5fd9,cool_stuff,4.42,212.3987,52.0,0.1731
state,PI,1,6cdd53843498f92890544667809f1595,health_beauty,4.3072,350.8346,156.0,0.1731
state,PI,2,3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,4.2096,149.9365,274.0,0.2336
state,PI,3,30ac6df06dc59ad72cf2f158fc2d904c,housewares,3.9444,113.8545,55.0,0.2727
state,PI,4,a62e25e09e05e6faf31d90c6ec1aa3d1,watches_gifts,3.8578,106.4204,226.0,0.1814
state,PI,5,95320d70592f898880af9c3d5394728c,bed_bath_table,5.0,218.6,5.0,0.0
state,PI,6,601a360bd2a916ecef0e88de72a6531a,cool_stuff,4.2712,127.3934,119.0,0.1933
state,PI,7,958cf0f5527f413e08d0cde6bfdbdde2,auto,4.0,259.0,4.0,1.0
state,PI,8,c6cae2869a248cef27c00f3340ac90a6,furniture_decor,5.0,75.9,3.0,0.0
state,PI,9,fec8c282124bc6f504cbc6e9ec38450a,auto,5.0,599.0,3.0,0.0
state,PI,10,9959d419a0794c6464cd18c2d6dd23fe,furniture_decor,4.75,45.0,4.0,0.25
state,PR,1,a62e25e09e05e6faf31d90c6ec1aa3d1,watches_gifts,3.8578,106.4204,226.0,0.1814
state,PR,2,422879e10f46682990de24d770e7f83d,garden_tools,3.9463,54.9116,484.0,0.1848
state,PR,3,53759a2ecddad2bb87a079a1f1519f73,garden_tools,3.8763,54.6574,373.0,0.1387
state,PR,4,368c6c730842d78016ad823897a372db,garden_tools,3.9227,54.2701,388.0,0.1841
state,PR,5,aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,4.0191,71.3641,527.0,0.2201
state,PR,6,b532349fe46b38fbc7bb3914c1bdae07,furniture_decor,3.5602,36.4622,169.0,0.0533
state,PR,7,154e7e31ebfa092203795c972e5804a6,health_beauty,4.3297,22.5096,281.0,0.169
state,PR,8,389d119b48cf3043d311335e499d9c6b,garden_tools,4.1131,54.6954,392.0,0.1531
state,PR,9,89b190a046022486c635022524a974a8,furniture_decor,4.75,65.49,20.0,0.25
state,PR,10,e53e557d5a159f5aa2c5e995dfdf244b,computers_accessories,3.4778,84.3675,183.0,0.1667
state,RJ,1,d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,4.1941,137.6516,343.0,0.2041
state,RJ,2,53b36df67ebb7c41585e8d54d6772e08,watches_gifts,4.1906,116.6669,323.0,0.2012
state,RJ,3,422879e10f46682990de24d770e7f83d,garden_tools,3.9463,54.9116,484.0,0.1848
